SKU_Code,Design_No.,Stock,Category,Size,Color
SET138-KR-PP-XS,SET138,6,kurta set,XS,pink
SET138-KR-PP-XXL,SET138,3,kurta set,XXL,pink
SET138-KR-PP-XXXL,SET138,2,kurta set,XXXL,pink
SET139-KR-PP-M,SET139,1,set,M,maroon
SET139-KR-PP-XS,SET139,1,set,XS,maroon
SET143-KR-PP-M,SET143,3,set,M,red
SET143-KR-PP-S,SET143,2,set,S,red
SET143-KR-PP-XL,SET143,1,set,XL,red
SET143-KR-PP-XS,SET143,2,set,XS,red
SET144-KR-NP-L,SET144,51,kurta set,L,pink
SET144-KR-NP-M,SET144,51,kurta set,M,pink
SET144-KR-NP-S,SET144,61,kurta set,S,pink
SET144-KR-NP-XL,SET144,48,kurta set,XL,pink
SET144-KR-NP-XS,SET144,19,kurta set,XS,pink
SET144-KR-NP-XXL,SET144,23,kurta set,XXL,pink
SET144-KR-NP-XXXL,SET144,33,kurta set,XXXL,pink
SET145-KR-NP-L,SET145,4,kurta set,L,blue
SET145-KR-NP-M,SET145,3,kurta set,M,blue
SET145-KR-NP-S,SET145,5,kurta set,S,blue
SET145-KR-NP-XL,SET145,5,kurta set,XL,blue
SET145-KR-NP-XS,SET145,7,kurta set,XS,blue
SET145-KR-NP-XXL,SET145,3,kurta set,XXL,blue
SET145-KR-NP-XXXL,SET145,3,kurta set,XXXL,blue
SET147-KR-NP-M,SET147,1,kurta set,M,navy blue
SET147-KR-NP-XL,SET147,1,kurta set,XL,navy blue
SET147-KR-NP-XS,SET147,2,kurta set,XS,navy blue
SET147-KR-NP-XXXL,SET147,3,kurta set,XXXL,navy blue
SET152-KR-NP-XS,SET152,3,set,XS,orange
SET153-KR-NP-M,SET153,1,set,M,black
SET153-KR-NP-XL,SET153,1,set,XL,black
SET153-KR-NP-XS,SET153,3,set,XS,black
SET154-KR-NP-L,SET154,20,kurta set,L,blue
SET154-KR-NP-M,SET154,38,kurta set,M,blue
SET154-KR-NP-S,SET154,16,kurta set,S,blue
SET154-KR-NP-XL,SET154,19,kurta set,XL,blue
SET154-KR-NP-XS,SET154,22,kurta set,XS,blue
SET154-KR-NP-XXL,SET154,3,kurta set,XXL,blue
SET154-KR-NP-XXXL,SET154,4,kurta set,XXXL,blue
SET155-KR-PP-M,SET155,1,kurta set,M,grey
SET155-KR-PP-S,SET155,1,kurta set,S,grey
SET155-KR-PP-XL,SET155,1,kurta set,XL,grey
SET155-KR-PP-XS,SET155,2,kurta set,XS,grey
SET156-KR-NP-L,SET156,10,kurta set,L,yellow
SET156-KR-NP-M,SET156,9,kurta set,M,yellow
SET156-KR-NP-S,SET156,21,kurta set,S,yellow
SET156-KR-NP-XL,SET156,14,kurta set,XL,yellow
SET156-KR-NP-XS,SET156,9,kurta set,XS,yellow
SET156-KR-NP-XXL,SET156,25,kurta set,XXL,yellow
SET156-KR-NP-XXXL,SET156,14,kurta set,XXXL,yellow
SET158-KR-PP-L,SET158,28,kurta set,L,mustard
SET158-KR-PP-M,SET158,35,kurta set,M,mustard
SET158-KR-PP-S,SET158,52,kurta set,S,mustard
SET158-KR-PP-XL,SET158,51,kurta set,XL,mustard
SET158-KR-PP-XS,SET158,49,kurta set,XS,mustard
SET158-KR-PP-XXL,SET158,71,kurta set,XXL,mustard
SET158-KR-PP-XXXL,SET158,21,kurta set,XXXL,mustard
SET159-KR-NP-L,SET159,1,kurta set,L,beige
SET159-KR-NP-M,SET159,1,kurta set,M,beige
SET159-KR-NP-XL,SET159,1,kurta set,XL,beige
SET165-KR-PP-L,SET165,4,kurta set,L,blue
SET165-KR-PP-M,SET165,1,kurta set,M,blue
SET165-KR-PP-S,SET165,1,kurta set,S,blue
SET165-KR-PP-XL,SET165,4,kurta set,XL,blue
SET165-KR-PP-XS,SET165,8,kurta set,XS,blue
SET165-KR-PP-XXL,SET165,7,kurta set,XXL,blue
SET171-KR-NP-L,SET171,6,kurta set,L,cream
SET171-KR-NP-M,SET171,2,kurta set,M,cream
SET171-KR-NP-S,SET171,5,kurta set,S,cream
SET171-KR-NP-XL,SET171,4,kurta set,XL,cream
SET171-KR-NP-XS,SET171,52,kurta set,XS,cream
SET171-KR-NP-XXL,SET171,1,kurta set,XXL,cream
SET171-KR-NP-XXXL,SET171,9,kurta set,XXXL,cream
SET172-KR-PP-L,SET172,51,kurta set,L,multicolor
SET172-KR-PP-M,SET172,59,kurta set,M,multicolor
SET172-KR-PP-S,SET172,22,kurta set,S,multicolor
SET172-KR-PP-XL,SET172,9,kurta set,XL,multicolor
SET172-KR-PP-XS,SET172,28,kurta set,XS,multicolor
SET172-KR-PP-XXL,SET172,65,kurta set,XXL,multicolor
SET172-KR-PP-XXXL,SET172,104,kurta set,XXXL,multicolor
SET179-KR-PP-M,SET179,1,kurta set,M,white
SET179-KR-PP-XS,SET179,6,kurta set,XS,white
SET179-KR-PP-XXL,SET179,1,kurta set,XXL,white
SET179-KR-PP-XXXL,SET179,3,kurta set,XXXL,white
SET182-KR-DH-L,SET182,18,kurta set,L,black
SET182-KR-DH-M,SET182,4,kurta set,M,black
SET182-KR-DH-S,SET182,6,kurta set,S,black
SET182-KR-DH-XL,SET182,44,kurta set,XL,black
SET182-KR-DH-XS,SET182,109,kurta set,XS,black
SET182-KR-DH-XXL,SET182,2,kurta set,XXL,black
SET182-KR-DH-XXXL,SET182,4,kurta set,XXXL,black
SET183-KR-DH-L,SET183,123,kurta set,L,olive green
SET183-KR-DH-M,SET183,73,kurta set,M,olive green
SET183-KR-DH-S,SET183,293,kurta set,S,olive green
SET183-KR-DH-XL,SET183,116,kurta set,XL,olive green
SET183-KR-DH-XS,SET183,45,kurta set,XS,olive green
SET183-KR-DH-XXL,SET183,52,kurta set,XXL,olive green
SET183-KR-DH-XXXL,SET183,26,kurta set,XXXL,olive green
SET184-KR-PP-L,SET184,11,kurta set,L,teal
SET184-KR-PP-M,SET184,6,kurta set,M,teal
SET184-KR-PP-S,SET184,10,kurta set,S,teal
SET184-KR-PP-XL,SET184,11,kurta set,XL,teal
SET184-KR-PP-XS,SET184,10,kurta set,XS,teal
SET184-KR-PP-XXL,SET184,2,kurta set,XXL,teal
SET184-KR-PP-XXXL,SET184,4,kurta set,XXXL,teal
SET185-KR-NP-L,SET185,39,kurta set,L,mustard
SET185-KR-NP-M,SET185,31,kurta set,M,mustard
SET185-KR-NP-S,SET185,39,kurta set,S,mustard
SET185-KR-NP-XL,SET185,42,kurta set,XL,mustard
SET185-KR-NP-XS,SET185,26,kurta set,XS,mustard
SET185-KR-NP-XXL,SET185,38,kurta set,XXL,mustard
SET185-KR-NP-XXXL,SET185,7,kurta set,XXXL,mustard
SET186-KR-DH-L,SET186,13,kurta set,L,navy blue
SET186-KR-DH-M,SET186,94,kurta set,M,navy blue
SET186-KR-DH-S,SET186,38,kurta set,S,navy blue
SET186-KR-DH-XL,SET186,38,kurta set,XL,navy blue
SET186-KR-DH-XS,SET186,108,kurta set,XS,navy blue
SET186-KR-DH-XXL,SET186,1,kurta set,XXL,navy blue
SET187-KR-DH-L,SET187,113,kurta set,L,peach
SET187-KR-DH-M,SET187,318,kurta set,M,peach
SET187-KR-DH-S,SET187,136,kurta set,S,peach
SET187-KR-DH-XL,SET187,71,kurta set,XL,peach
SET187-KR-DH-XS,SET187,102,kurta set,XS,peach
SET187-KR-DH-XXL,SET187,63,kurta set,XXL,peach
SET187-KR-DH-XXXL,SET187,52,kurta set,XXXL,peach
SET188-KR-NP-L,SET188,30,kurta set,L,pink
SET188-KR-NP-M,SET188,85,kurta set,M,pink
SET188-KR-NP-S,SET188,31,kurta set,S,pink
SET188-KR-NP-XL,SET188,10,kurta set,XL,pink
SET188-KR-NP-XS,SET188,106,kurta set,XS,pink
